Activity Date,Activity Name,Activity ID,Type,Equipment,Distance,Total Time,Moving Time,Avg Speed,Max Speed,Avg Power,Elevation Gain,Avg Grade,Kudos,Comments,Photos,Riders,Commute,Trainer,Description,num
"Apr 18, 2020 1:15 PM",Afternoon Run,3318095779,Run,,4.52,00:39:22,00:36:11,7.5,10.7,0,198,43.8,0,0,0,1,,,,9
"Jan 15, 2020 4:26 PM",Afternoon Run,3015013988,Run,,4.54,00:44:14,00:42:37,6.4,8.1,0,217,47.7,0,0,0,1,,,,10
"Dec 17, 2019 4:37 PM",Afternoon Run,2940280765,Run,,3.85,00:46:15,00:44:25,5.2,7.6,0,255,66.3,0,0,0,1,,,,11
"May 3, 2020 1:43 PM",Afternoon Run,3393741321,Run,,5.62,00:53:15,00:53:12,6.3,9.8,0,1072,190.6,4,0,0,1,,,,12
"Jun 7, 2017 5:42 PM",Afternoon Run,3403422626,Run,,4.8,00:57:21,00:57:16,5,7.4,0,773,160.9,0,0,0,1,,,,13
"Jun 6, 2017 5:44 PM",Afternoon Run,3403422594,Run,,4.71,00:57:31,00:57:24,4.9,7.2,0,773,164.1,0,0,0,1,,,,14
"May 11, 2017 5:42 PM",Afternoon Run,3403422692,Run,,4.88,01:01:10,01:01:04,4.8,7.4,0,785,161,0,0,0,1,,,,15
"Oct 15, 2020 2:47 PM",Afternoon Run,4200048663,Run,,6.75,01:03:52,01:03:40,6.4,14.1,0,1106,163.8,0,0,0,1,,,,16
"Sep 8, 2020 1:43 PM",Afternoon Run,4031846953,Run,,6.79,01:04:54,01:04:49,6.3,10.1,0,1132,166.6,1,0,0,1,,,,17
"Oct 20, 2020 1:52 PM",Afternoon Run,4221825680,Run,,6.77,01:09:13,01:09:02,5.9,10.5,0,1089,160.9,0,0,0,1,,,,18
"Oct 16, 2020 4:12 PM",Afternoon Run,4204053246,Run,,6.65,01:10:41,01:10:16,5.7,10.7,0,1138,171.1,1,0,0,1,,,,19
"Oct 6, 2020 1:16 PM",Afternoon Run,4160429459,Run,,6.89,01:12:38,01:12:06,5.7,9.8,0,1083,157.1,1,0,0,1,,,,20
"Sep 24, 2020 3:17 PM",Afternoon Run,4108139466,Run,,6.75,01:12:46,01:12:15,5.6,13.2,0,1070,158.3,2,0,0,1,,,,21
"Sep 22, 2020 1:27 PM",Afternoon Run,4098798539,Run,,6.71,01:12:52,01:12:36,5.5,10.7,0,1070,159.3,0,0,0,1,,,,22
"Oct 9, 2020 4:11 PM",Afternoon Run,4173692180,Run,,6.91,01:13:14,01:13:11,5.7,10.5,0,1053,152.3,1,0,0,1,,,,23
"Sep 29, 2020 1:14 PM",Afternoon Run,4129917599,Run,,6.85,01:17:30,01:16:51,5.3,9.8,0,1053,153.8,1,0,0,1,,,,24
"Mar 24, 2020 1:57 PM",Afternoon Run,3214673219,Run,,7.35,01:43:23,01:31:02,4.8,9.8,0,2264,308,1,0,0,1,,,,25
"Sep 1, 2020 1:23 PM",Afternoon Run,3998046953,Run,,9.67,01:50:17,01:48:17,5.4,9.8,0,1467,151.6,1,0,0,1,,,,26
"May 9, 2017 3:10 PM",Afternoon Run,3403422948,Hike,,3.45,03:31:24,00:45:34,4.5,6.9,0,930,269.6,0,0,0,1,,,,27
"Sep 13, 2019 6:45 AM",Allen Mountain - AKA SickGnaristan,2705552199,Hike,,13.27,05:31:31,04:38:57,2.9,22.8,0,5415,408.1,2,1,9,1,,,,
"Aug 10, 2020 8:22 AM",Big Djoseph,3894363847,Hike,,11.53,06:46:49,05:19:15,2.2,6.7,0,4957,429.9,0,0,5,1,,,,
"Nov 2, 2019 8:54 AM",Bike to hike to snowshoe - Swiftcurrent Mountain,2836752976,Hike,,27.29,09:44:53,07:00:05,3.9,21,0,5475,200.6,3,0,3,2,,,,
"Jun 1, 2020 10:42 AM",Cache Creek,3550044190,Hike,,14.77,05:18:25,04:16:21,3.5,8.7,0,1463,99,2,0,0,1,,,,
"Aug 19, 2019 6:30 AM",Carney Peak,2633164506,Hike,,9.84,04:27:52,03:35:02,2.7,30.6,0,3888,395.3,1,0,3,1,,,,
"Aug 2, 2020 8:43 AM",Cedar,3859954247,Hike,,14.85,07:45:25,05:54:19,2.5,8.9,0,5404,363.9,2,0,6,1,,,,
"Jul 14, 2020 6:14 AM",Crater Mountain part 1,3763223414,Hike,,4.41,01:17:04,01:15:36,3.5,8.1,0,761,172.6,0,0,0,1,,,,
"Jul 14, 2020 7:47 AM",Crater Mountain part 2,3763224687,Hike,,12.53,07:24:04,05:28:53,2.3,9.2,0,4557,363.7,1,0,4,1,,,Broke my shift lever and had to bike up 1500 feet in 3rd gear. Quite an unpleasant and embarrassing climb...,
"Jul 16, 2020 6:06 AM",Divide Number Three,3772946487,Hike,,11.14,08:25:57,06:06:21,1.8,6,0,5276,473.6,0,0,3,1,,,,
"Jul 19, 2020 7:06 AM",Downtown Amsterdam,3788134338,Hike,,9.53,09:13:14,04:54:00,1.9,40.9,0,5807,609.2,1,0,3,2,,,Christmas in July! Not my first time getting caught in a snowstorm on July 1st...,
"May 9, 2020 11:08 AM",Ellis Mountain,3426752551,Hike,,7.29,03:49:29,03:08:05,2.3,6.7,0,3035,416.5,2,0,3,1,,,,
"Feb 27, 2019 6:37 PM",Evening Activity,3388549685,NordicSki,,4.49,01:04:12,01:03:24,4.3,17.4,0,882,196.3,0,0,0,1,,,,
"May 20, 2019 6:00 PM",Evening Hike,2384134980,Hike,,4.56,01:30:22,01:30:22,3,46.1,0,1024,224.5,0,0,0,1,,,,
"Nov 30, 2019 7:32 PM",Evening Ride,2902959896,Ride,,2.35,00:11:09,00:10:46,13.1,22.8,0,41,17.6,0,0,0,1,,,,
"Apr 2, 2019 6:49 PM",Evening Ride,3388553652,Ride,,3.53,00:22:06,00:20:29,10.3,21,107.6,75,21.2,0,0,0,1,,,,1
"Jul 30, 2019 6:52 PM",Evening Ride,2577377395,Ride,,7.03,00:24:44,00:23:26,18,29.1,0,196,27.9,0,0,0,1,,,,2
"Dec 3, 2019 6:50 PM",Evening Ride,2909811355,Ride,,4.75,00:26:10,00:08:06,35.2,16.6,0,33,7,0,0,0,1,,,,3
